"bibtex_key","title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","selection_criteria","created_at","updated_at","created_by","updated_by","status","comments"
"7866722","Where to Kill the Cyber Kill-Chain: An Ontology-Driven Framework for IoT Security Analytics","M. Mohsin and Z. Anwar",,"2016","IEEE Digital Library","23-28",,"In this paper we propose an ontology-based framework for the Internet of Things (IoT) to safeguard against Advanced Persistent Threats (APTs).
The framework grasps the understanding of attack kill-chain, leveraged attack patterns and vulnerabilities and aligns them with network semantics to gauge their applicability on IoT systems. 
Followed by that, it automatically infers efficient solutions for changing attack tactics by performing cost-benefit analysis of viable countermeasures through rule-based ontology reasoning.
Our work leverages existing ontologies of well-known Cyber Threat Intelligence (CTI) standards by extending them with new concepts and aligning with a novel IoT ontology.
The framework automatically extracts relevant information from XML-based threat feeds, populates it as ontology instances and maps it with IoT configurations to perform the desired reasoning. The practicality of approach has been illustrated by evaluating a sample IoT network against a variety of real-world APTs.","inproceedings","10.1109/FIT.2016.013",,,,"data analysis;inference mechanisms;Internet of Things;knowledge based systems;ontologies (artificial intelligence);security of data;cyber attack kill-chain;ontology-driven framework;Internet of Things;IoT security analytics;advanced persistent threat;APT;rule-based ontology reasoning;cyber threat intelligence;CTI;Actionable cyber threat intelligence;Internet of Things;Ontology;Security controls",,,,,,"43383,7914930556","43384,0803587963","luispuhl","luispuhl","Accepted","Muitos termos já persistentes na industria."
"8423129","Intrusion Detection in the Era of IoT: Building Trust via Traffic Filtering and Sampling","W. Meng","Computer","2018","IEEE Digital Library","36-43","51","In the Internet of Things (IoT) era, the number of connected devices and subnets of devices is rapidly increasing. Yet, it remains a challenge for intrusion detection mechanisms to build a trust map among various IoT devices because of the devices' large quantity and dynamic nature. Through a case study, the author highlights the importance of traffic filtration and sampling in evaluating trustworthiness among IoT devices.","article","10.1109/MC.2018.3011034",,,,"computer network security;Internet of Things;trusted computing;traffic filtering;intrusion detection mechanisms;trust map;traffic filtration;trust building;IoT device trustworthiness;Internet of Things;Intrusion detection;Computer security;Internet of Things;Trust management;Privacy;Bayes methods;Internet of Things;IoT;security;Internet/Web technologies;traffic filtering;traffic sampling;smart objects;smart devices;IoT devices;IoT security;Cybertrust in the IoT Age",,"0018-9162",,,"descreve técnica de detecção genérica","43383,7914930556","43383,8363194444","luispuhl","luispuhl","Rejected",
"8416516","Inferring, Characterizing, and Investigating Internet-Scale Malicious IoT Device Activities: A Network Telescope Perspective","S. Torabi and E. Bou-Harb and C. Assi and M. Galluscio and A. Boukhtouta and M. Debbabi",,"2018","IEEE Digital Library","562-573",,"Recent attacks have highlighted the insecurity of the Internet of Things (IoT) paradigm by demonstrating the impacts of leveraging Internet-scale compromised IoT devices. In this paper, we address the lack of IoT-specific empirical data by drawing upon more than 5TB of passive measurements. We devise data-driven methodologies to infer compromised IoT devices and those targeted by denial of service attacks. We perform large-scale characterization analysis of their traffic, as well as explore a public threat repository and an in-house malware database, to underlie their malicious activities. The results expose a significant 26 thousand compromised IoT devices ""in the wild,"" with 40% being active in critical infrastructure. More importantly, we uncover new, previously unreported malware variants that specifically target IoT devices. Our empirical results render a first attempt to highlight the large-scale insecurity of the IoT paradigm, while alarming about the rise of new generations of IoT-centric malware-orchestrated botnets.","inproceedings","10.1109/DSN.2018.00064",,,,"computer network security;Internet;Internet of Things;invasive software;telecommunication traffic;IoT-specific empirical data;data-driven methodologies;service attacks;large-scale characterization analysis;in-house malware database;malicious activities;large-scale insecurity;IoT paradigm;IoT-centric malware-orchestrated botnets;internet-scale malicious IoT device activities;network telescope perspective;public threat repository;passive measurement;Internet-scale compromised IoT devices;Internet ",,"2158-3927",,,,"43383,7914930556","43384,0803472222","luispuhl","luispuhl","Accepted",
"7784565","A Host-Based Intrusion Detection and Mitigation Framework for Smart Home IoT Using OpenFlow","M. Nobakht and V. Sivaraman and R. Boreli",,"2016","IEEE Digital Library","147-156",,"Smart devices are gaining popularity in our homes with the promise to make our lives easier and more comfortable. However, the increased deployment of such smart devices brings an increase in potential security risks. In this work, we propose an intrusion detection and mitigation framework, called IoT-IDM, to provide a network-level protection for smart devices deployed in home environments. IoT-IDM monitors the network activities of intended smart devices within the home and investigates whether there is any suspicious or malicious activity. Once an intrusion is detected, it is also capable of blocking the intruder in accessing the victim device on the fly. The modular design of IoT-IDM gives its users the flexibility to employ customized machine learning techniques for detection based on learned signature patterns of known attacks. Software-defined networking technology and its enabling communication protocol, OpenFlow, are used to realise this framework. Finally, a prototype of IoT-IDM is developed and the applicability and efficiency of proposed framework demonstrated through a real IoT device: a smart light bulb.","inproceedings","10.1109/ARES.2016.64",,,,"computer network security;home automation;Internet of Things;learning (artificial intelligence);protocols;software defined networking;host-based intrusion detection;mitigation framework;smart home IoT;OpenFlow;smart devices;security risks;IoT-IDM;network-level protection;victim device;customized machine learning techniques;learned signature patterns;software-defined networking technology;communication protocol;smart light bulb;Internet of Things (IoT);Smart-home;SDN;Open-Flow;Machine learning;An",,,,,"descreve técnica de detecção genérica","43383,7914930556","43383,8413425926","luispuhl","luispuhl","Rejected",
"8394287","Framework for efficient SCA resistance verification of IoT devices","S. Peng and W. Hong and J. Li and S. Huang",,"2018","IEEE Digital Library","468-471",,"Side-channel attacks (SCA) are capable of bypassing the theoretical protection of cryptographic schemes and revealing secret information in hardware devices. They have become a serious threat to the hardware security of the cryptographic modules. Entering the Internet of Things (IoT) era, it is crucial to verify the IoT devices' ability to thwart potential attacks from stealing confidential data. In this work, we set out to design and implement a framework for efficient SCA resistance verification. By integrating trace measurement equipment and GPU-accelerated analyzing engines, we have successfully built an automatic system which greatly simplifies the test procedure and enables on-the-fly SCA tests. Experiment results on common IoT development boards show both promising strength and flexibility of our framework to meet different testing requirements smoothly.","inproceedings","10.1109/ICASI.2018.8394287",,,,"cryptography;data protection;Internet of Things;program testing;program verification;secret information;SCA resistance verification;GPU-accelerated analyzing engines;hardware security;cryptographic schemes;side-channel attacks;trace measurement equipment;confidential data;IoT devices;Things era;cryptographic modules;Cryptography;Graphics processing units;Servers;Correlation;Resistance;Hardware;side channel attack;IoT device;GPU computing;on-the-fly test",,,,,"não é sobre ataque à redes","43383,7914930556","43383,8428935185","luispuhl","luispuhl","Rejected","Side channel attack"
"8367637","Proof of Concept for IoT Device Authentication Based on SRAM PUFs Using ATMEGA 2560-MCU","C. Lipps and A. Weinand and D. Krummacker and C. Fischer and H. D. Schotten",,"2018","IEEE Digital Library","36-42",,"The continuously rising amount of interconnected devices leads to many new attack vectors and cyber security threats. Secure and authentic communication is one of the fundamental needs of progress and development of new technologies. Therefore, new methods to verify the identity of participants in communication processes must be developed. We suggest different approaches for SRAM-based Physically Unclonable Function (PUF) deployment, such as Internet of Things (IoT)-device authentication or symmetric key cryptography (SKC). To obtain a reliable statement about the quality of the derived PUF, we applied some commonly used metrics like the entropy and correlated them with exterior influencing factors such as the environmental temperature or the supply voltage. We further show, that our approach and the examined parameters, provide a secure and reliable communication, based on a confidential, resource efficient and low-cost authentication method for IoT-devices which is enabled by usage of already given components, such as ATMEGA 2560 MCU internal SRAM-cells.","inproceedings","10.1109/ICDIS.2018.00013",,,,"Internet of Things;message authentication;microcontrollers;private key cryptography;security of data;SRAM chips;IoT device authentication;interconnected devices;cyber security threats;authentic communication;Physically Unclonable Function deployment;symmetric key cryptography;secure communication;reliable communication;low-cost authentication method;ATMEGA 2560 MCU internal SRAM-cells;SRAM PUF;Internet of Things;environmental temperature;Authentication;Cryptography;SRAM cells;Nonvolatile memory;",,,,,"não é sobre ataque à redes","43383,7914930556","43383,8455092593","luispuhl","luispuhl","Rejected",
"Hafeez:2017:ISD:3124087.3124093","IOTURVA: Securing Device-to-Device (D2D) Communication in IoT Networks","Hafeez, Ibbad and Ding, Aaron Yi and Tarkoma, Sasu",,"2017","ACM Digital Library","1--6",,"None","inproceedings","10.1145/3124087.3124093","http://doi.acm.org/10.1145/3124087.3124093",,,"IoT, SDN, access-control, network, security","ACM",,,,,"43383,7940046296","43383,845775463","luispuhl","luispuhl","Rejected",
"Huang:2017:FOS:3125502.3125532","A Fast Online Sequential Learning Accelerator for IoT Network Intrusion Detection: Work-in-progress","Huang, Hantao and Khalid, Rai Suleman and Liu, Wenye and Yu, Hao",,"2017","ACM Digital Library","18:1--18:2",,"None","inproceedings","10.1145/3125502.3125532","http://doi.acm.org/10.1145/3125502.3125532",,,,"ACM",,,,,"43383,7940046296","43383,8458564815","luispuhl","luispuhl","Rejected",
"Bezawada:2018:SHI:3180457.3180464","Securing Home IoT Environments with Attribute-Based Access Control","Bezawada, Bruhadeshwar and Haefner, Kyle and Ray, Indrakshi",,"2018","ACM Digital Library","43--53",,"None","inproceedings","10.1145/3180457.3180464","http://doi.acm.org/10.1145/3180457.3180464",,,"IoT networks, NIST NGAC, attribute-based access control, home IoT environment, internet-of-things","ACM",,,,,"43383,7940046296","43383,8497800926","luispuhl","luispuhl","Rejected",
"DeMarinis:2017:TUN:3139937.3139949","Toward Usable Network Traffic Policies for IoT Devices in Consumer Networks","DeMarinis, Nicholas and Fonseca, Rodrigo",,"2017","ACM Digital Library","43--48",,"None","inproceedings","10.1145/3139937.3139949","http://doi.acm.org/10.1145/3139937.3139949",,,"home networks, internet of things (iot), intrusion detection, network security","ACM",,,,,"43383,7940046296","43383,8498842593","luispuhl","luispuhl","Rejected",
"Miettinen:2018:ITT:3283568.3283569","Internet of Things or Threats?: On Building Trust in IoT (Keynote)","Miettinen, Markus and Sadeghi, Ahmad-Reza",,"2018","ACM Digital Library","1:1--1:9",,"None","inproceedings",,"http://dl.acm.org/citation.cfm?id=3283568.3283569",,,"IoT privacy, IoT security, intrusion detection, smart home","IEEE Press",,,,,"43383,7940046296","43383,8502777778","luispuhl","luispuhl","Rejected",
"Guo:2018:IID:3229565.3229572","IP-Based IoT Device Detection","Guo, Hang and Heidemann, John",,"2018","ACM Digital Library","36--42",,"None","inproceedings","10.1145/3229565.3229572","http://doi.acm.org/10.1145/3229565.3229572",,,,"ACM",,,,,"43383,7940046296","43383,8503587963","luispuhl","luispuhl","Rejected",
"Saleem:2017:SAS:3102304.3109812","A State of the Art Survey - Impact of Cyber Attacks on SME's","Saleem, Jibran and Adebisi, Bamidele and Ande, Ruth and Hammoudeh, Mohammad",,"2017","ACM Digital Library",,,"None","inproceedings","10.1145/3102304.3109812","http://doi.acm.org/10.1145/3102304.3109812",,,"Computer Security, Cyber Threats, IoT, Penetration Testing, Privacy, Security Analysis, Security Audit","ACM",,,,,"43383,7940046296","43383,8504513889","luispuhl","luispuhl","Rejected",
"Thapliyal:2017:UBA:3064814.3064825","UTB-SOI Based Adiabatic Computing for Low-power and Secure IoT Devices","Thapliyal, Himanshu and Varun, T. S. S. and Kumar, S. Dinesh",,"2017","ACM Digital Library","16:1--16:4",,"None","inproceedings","10.1145/3064814.3064825","http://doi.acm.org/10.1145/3064814.3064825",,,"DPA attack, adiabatic computing, low power, security","ACM",,,,,"43383,7940046296","43383,850787037","luispuhl","luispuhl","Rejected",
"Mergendahl:2017:SDD:3139937.3139954","Source-End DDoS Defense in IoT Environments","Mergendahl, Samuel and Sisodia, Devkishen and Li, Jun and Cam, Hasan",,"2017","ACM Digital Library","63--64",,"None","inproceedings","10.1145/3139937.3139954","http://doi.acm.org/10.1145/3139937.3139954",,,"ddos, fast retransmit, iot, network security, source-end ddos defense, tcp","ACM",,,,,"43383,7940046296","43383,8513888889","luispuhl","luispuhl","Rejected",
"Shi:2016:UWE:2991079.2991086","An Ultra-lightweight White-box Encryption Scheme for Securing Resource-constrained IoT Devices","Shi, Yang and Wei, Wujing and He, Zongjian and Fan, Hongfei",,"2016","ACM Digital Library","16--29",,"None","inproceedings","10.1145/2991079.2991086","http://doi.acm.org/10.1145/2991079.2991086",,,"internet-of-things, resource-constrained, ultra-lightweight, white-box attack context, white-box encryption scheme","ACM",,,,,"43383,7940046296","43383,8517592593","luispuhl","luispuhl","Rejected",
"Feng:2017:TSM:3126686.3126713","Towards the Security of Motion Detection-based Video Surveillance on IoT Devices","Feng, Xianglong and Ye, Mengmei and Swaminathan, Viswanathan and Wei, Sheng",,"2017","ACM Digital Library","228--235",,"None","inproceedings","10.1145/3126686.3126713","http://doi.acm.org/10.1145/3126686.3126713",,,"arm trustzone, hardware isolation, internet of things, motion detection, replay attack, video surveillance","ACM",,,,,"43383,7940046296","43383,851875","luispuhl","luispuhl","Rejected",
"Loi:2017:SES:3139937.3139938","Systematically Evaluating Security and Privacy for Consumer IoT Devices","Loi, Franco and Sivanathan, Arunan and Gharakheili, Hassan Habibi and Radford, Adam and Sivaraman, Vijay",,"2017","ACM Digital Library","1--6",,"None","inproceedings","10.1145/3139937.3139938","http://doi.acm.org/10.1145/3139937.3139938",,,"iot, privacy, security","ACM",,,,,"43383,7940046296","43383,8526388889","luispuhl","luispuhl","Rejected",
"Nawal:2017:ALE:3136825.3136875","Abnormal Leakage of Energy in Battery-based IoT-devices","Nawal, Raksha and Kaur, Rajbir",,"2017","ACM Digital Library","165--170",,"None","inproceedings","10.1145/3136825.3136875","http://doi.acm.org/10.1145/3136825.3136875",,,"CoAP, anomalous battery drainage, internet of things (IoT), resource constrained","ACM",,,,,"43383,7940046296","43383,8528240741","luispuhl","luispuhl","Rejected",
"Noorman:2017:SLS:3129335.3079763","Sancus 2.0: A Low-Cost Security Architecture for IoT Devices","Noorman, Job and Bulck, Jo Van and Mühlberg, Jan Tobias and Piessens, Frank and Maene, Pieter and Preneel, Bart and Verbauwhede, Ingrid and Götzfried, Johannes and Müller, Tilo and Freiling, Felix","ACM Trans. Priv. Secur.","2017","ACM Digital Library","7:1--7:33","20","None","article","10.1145/3079763","http://doi.acm.org/10.1145/3079763",,,"Embedded systems security, Protected Module Architectures, Software security engineering, Trusted computing","ACM","2471-2566",,,,"43383,7940046296","43383,8530555556","luispuhl","luispuhl","Rejected",
"Alanwar:2017:SSI:3054977.3054981","SeleCon: Scalable IoT Device Selection and Control Using Hand Gestures","Alanwar, Amr and Alzantot, Moustafa and Ho, Bo-Jhang and Martin, Paul and Srivastava, Mani",,"2017","ACM Digital Library","47--58",,"None","inproceedings","10.1145/3054977.3054981","http://doi.acm.org/10.1145/3054977.3054981",,,"IoT, Pointing, hand gestures","ACM",,,,,"43383,7940046296","43383,8534259259","luispuhl","luispuhl","Rejected",
